Week,Total_Fish_Agents,Larval_Count,Juvenile_Count,Adult_Count,Weekly_Catch_KG,Weekly_Profit_Rs
1,9900,265,3333,6302,0.0,-3750000.0
2,9816,197,3322,6297,6342.655743860405,-2928534.408565659
3,9743,120,3328,6295,4823.00488523356,-3179606.4282895857
4,9675,60,3322,6293,5009.359063739838,-3105685.8299468625
5,9607,0,3310,6297,5477.8682586224795,-3058206.847456986
6,9540,0,3242,6298,4923.926244288086,-3153974.2906831377
7,9475,0,3156,6319,5481.373867544144,-3065585.911939608
8,9384,0,3084,6300,4400.037644734808,-3215332.3694265555
9,9309,0,3005,6304,6006.04751188678,-2991226.9058041126
10,9231,0,2940,6291,4919.579474463204,-3157187.883401636
11,9149,0,2870,6279,5735.590462597088,-3008210.042710423
12,9089,0,2796,6293,6224.553344008892,-2932104.0526528778
13,9022,0,2744,6278,4320.587215983992,-3234292.9708199687
14,8955,0,2675,6280,4503.752430428419,-3208949.409601693
15,8888,0,2613,6275,5177.466054977573,-3099932.1522067385
16,8825,0,2548,6277,4529.787196738595,-3184767.575443272
17,8758,0,2485,6273,5726.320236916504,-3004427.1312251193
18,8667,0,2421,6246,4524.184505366149,-3198513.452105296
19,8590,0,2334,6256,6847.970353105924,-2868632.020700208
20,8525,0,2265,6260,6777.633422528409,-2867802.1718193246
21,8449,0,2190,6259,5127.936426834538,-3102648.5829253886
22,8370,0,2124,6246,6312.26524027078,-2947667.2390120993
23,8366,0,2062,6304,5553.025500286431,-3055122.1090236297
24,8358,0,2009,6349,0.0,-3884499.4826752334
25,8351,0,1941,6410,0.0,-3900449.174380045
26,8347,0,1872,6475,0.0,-3885908.266297887
27,8343,0,1802,6541,0.0,-3855337.4741718913
28,8333,0,1732,6601,0.0,-3892472.6352057997
29,8329,0,1675,6654,0.0,-3914720.815035556
30,8323,0,1613,6710,0.0,-3882128.6940394747
31,8317,0,1560,6757,0.0,-3881112.297038496
32,8310,0,1501,6809,0.0,-3894834.4095200878
33,8306,0,1438,6868,0.0,-3875454.1518216436
34,8305,0,1365,6940,0.0,-3892734.959201252
35,10910,2615,1306,6989,0.0,-3875493.2371495897
36,10771,2577,1235,6959,0.0,-3869299.8470345573
37,10631,2533,1171,6927,6852.1340689050485,-2839897.3617191385
38,10478,2479,1108,6891,9106.696879814885,-2519938.7666056245
39,10367,2435,1053,6879,7111.488789450955,-2829311.8546632086
40,10215,0,3365,6850,7150.108133091206,-2797847.8864094857
41,10125,0,3301,6824,9462.650875799816,-2457053.6407798184
42,10045,0,3243,6802,7619.046417057846,-2725147.892005333
43,9977,0,3182,6795,7490.901928031171,-2734750.2571068583
44,9884,0,3125,6759,7464.967012912714,-2753272.440279909
45,9776,0,3055,6721,7976.431324357356,-2697195.3842707807
46,9696,0,2991,6705,11250.171988719483,-2178475.952141015
47,9614,0,2934,6680,6750.4513550009815,-2847799.9223696855
48,9533,0,2879,6654,7546.31391133879,-2740509.560035316
49,9449,0,2812,6637,9352.737426232066,-2479700.8659967617
50,9351,0,2756,6595,7241.328020750329,-2795259.942433632
51,9275,0,2687,6588,7848.493672294567,-2708160.3238750505
52,9198,0,2628,6570,8947.822323267565,-2520479.9126166804
53,9125,0,2584,6541,5651.592351912884,-3046811.982397409
54,9050,0,2521,6529,6805.9486244813725,-2843134.1973085008
55,8956,0,2447,6509,6848.551551213196,-2864968.9235969163
56,8872,0,2391,6481,9944.74252929217,-2385506.099026526
57,8785,0,2330,6455,8378.659551617651,-2617491.557960618
58,8696,0,2327,6369,9359.696780255008,-2470667.669975803
59,8607,0,2324,6283,8984.543354431238,-2512371.9568219814
60,8544,0,2323,6221,7602.692273358959,-2739922.5156539874
61,8469,0,2320,6149,5959.748389320613,-2995327.7332859566
62,8408,0,2320,6088,6820.705032762649,-2852566.5861885534
63,8337,0,2319,6018,6539.082081966774,-2921291.342817879
64,8266,0,2319,5947,7158.258539029854,-2790498.630020657
65,8178,0,2318,5860,7744.229860623038,-2707965.019486266
66,8122,0,2316,5806,9318.42639922883,-2472185.8153183567
67,8049,0,2314,5735,4365.717928754284,-3235282.3579212558
68,7971,0,2310,5661,6708.591129169225,-2900065.1174126402
69,7911,0,2309,5602,7711.757535058381,-2703254.118747625
70,7834,0,2306,5528,6916.084096757882,-2850897.446158388
71,7767,0,2306,5461,8482.568778185667,-2584851.4594479576
72,7709,0,2304,5405,7481.787079527834,-2744578.9492960363
73,7665,0,2303,5362,5790.904225989876,-3006477.2922526454
74,7586,0,2302,5284,5043.868007927264,-3119285.8020350314
75,7582,0,2301,5281,8408.346605401353,-2617427.3007393833
76,7571,0,2297,5274,0.0,-3871941.339367582
77,7568,0,2296,5272,0.0,-3854747.5718483464
78,7564,0,2294,5270,0.0,-3858875.7690461758
79,7554,0,2289,5265,0.0,-3870814.2793510626
80,7551,0,2288,5263,0.0,-3870898.938606962
81,7543,0,2283,5260,0.0,-3876805.089505182
82,7539,0,2279,5260,0.0,-3892866.32715003
83,7536,0,2277,5259,0.0,-3879323.760767138
84,7534,0,2276,5258,0.0,-3891121.554217199
85,7530,0,2275,5255,0.0,-3886990.6631786176
86,7527,0,2274,5253,0.0,-3869193.9214216145
87,10431,2907,2272,5252,0.0,-3909548.6625359487
88,10301,2851,2266,5184,0.0,-3874408.3144233017
